sid1,sid2,route,mins
5188,3818,a,2
3818,3820,a,5
3820,4941,a,8
4941,3821,a,6
3821,3528,a,5
3528,3529,a,2
3529,381,a,9
381,3530,a,6
3530,3531,a,3
3531,2387,a,3
2387,2663,a,5
2663,3533,a,9
3533,3535,a,6
3535,3536,a,9
3536,3537,a,7
3537,3539,a,10
3539,3540,a,10
3540,3541,a,2
3541,3543,a,9
3543,3545,a,2
3545,3546,a,3
3546,3549,a,2
3549,3550,a,9
3550,3551,a,8
3551,3553,a,10
3553,3555,a,7
3555,4246,a,6
4246,3556,a,10
3556,3558,a,5
3558,3559,a,2
3559,2763,a,6
2763,2843,a,5
2843,2845,a,6
2845,2847,a,16
2847,2848,a,7
2848,2932,a,19
2932,5307,a,4
5307,2612,a,9
2612,2614,a,10
2614,2618,a,7
2618,2622,a,17
2622,2850,a,12
2850,2851,a,3
2851,2854,a,12
2854,5308,a,6
5308,2855,a,9
2855,2859,a,16
2859,5309,a,10
5309,4774,a,5
4774,5310,a,16
5310,2862,a,8
2862,4776,a,10
4776,3767,a,3
3767,3768,a,8
3722,3723,f,3
3723,3726,f,8
3726,3728,f,10
3728,3729,f,7
3729,2898,f,8
2898,2899,f,5
2899,2900,f,6
2900,1791,f,16
1791,1792,f,6
1792,1795,f,6
1795,1823,f,8
1823,1820,f,10
1820,1823,f,4
1823,1783,f,5
1783,1785,f,4
1785,1786,f,9
1786,4827,f,3
4827,2905,f,2
2905,2906,f,8
2906,2909,f,7
2909,1838,f,5
1838,3750,f,4
3750,3746,f,9
3746,3750,f,3
3750,3753,f,4
3753,3757,f,8
978,980,c,8
980,981,c,9
981,3200,c,7
3200,3241,c,3
3241,3243,c,6
3243,4232,c,4
4232,3244,c,10
3244,3246,c,4
3246,982,c,10
982,983,c,6
983,985,c,7
985,987,c,5
987,1676,c,5
1676,3256,c,6
4008,4012,c,6
4012,5426,c,10
5426,1335,c,10
1335,1339,c,8
1339,1341,c,2
1341,1343,c,5
1343,3360,c,3
3360,3362,c,4
3362,3364,c,7
3364,4222,c,5
4222,3413,c,2
3413,3416,c,5
3416,3417,c,7
3417,3419,c,8
3419,3420,c,10
3420,3032,c,5
3032,3033,c,9
3033,2717,c,6
2717,3069,c,2
3069,3070,c,10
3070,4291,c,3
4291,4567,c,4
4567,3586,c,5
3586,1906,c,2
1906,4963,c,6
3583,3585,c,7
3585,4567,c,9
4567,4216,c,4
4216,3071,c,7
3071,3072,c,8
3072,2712,c,4
2712,2713,c,3
2713,4155,c,5
4155,3442,c,6
3442,3444,c,3
3444,3447,c,6
3447,3450,c,7
3450,4218,c,9
4218,3368,c,6
3368,3370,c,6
3370,4219,c,7
4219,4220,c,8
4220,1346,c,8
1346,1349,c,8
1349,1353,c,9
1353,1355,c,9
1355,369,c,2
369,4090,c,10
4090,4091,c,4
4091,4098,c,10
4098,4253,c,10
4253,3184,c,3
3184,1642,c,9
1642,1646,c,10
1646,965,c,8
965,966,c,10
966,968,c,10
968,970,c,4
970,3192,c,6
3192,3194,c,5
3194,3196,c,5
3196,974,c,12
974,979,c,9
979,975,c,2
978,980,d,5
980,981,d,5
981,3200,d,8
3200,3241,d,8
3241,4232,d,6
4232,3244,d,8
3244,3245,d,2
3245,3250,d,2
3250,3253,d,2
3253,3256,d,8
3256,3560,d,10
3560,3563,d,5
3563,3567,d,9
3567,3571,d,5
3571,3576,d,4
3576,5401,d,6
5401,3577,d,10
3577,382,d,2
382,2225,d,4
2225,2229,d,6
2229,2231,d,10
2231,2665,d,2
2665,2667,d,2
2667,392,d,6
392,2669,d,7
2669,2671,d,8
2671,2673,d,2
2673,2025,d,4
2025,2027,d,6
2027,3417,d,7
3417,3418,d,2
3418,2451,d,8
2451,2452,d,7
2452,1561,d,7
1561,2902,d,10
2902,5089,d,4
5089,5088,d,3
5088,510,d,8
510,4050,d,7
4050,4337,d,6
4337,3618,d,3
3618,4750,d,3
4750,3619,d,9
3619,3620,d,8
3620,2040,d,3
2040,4768,d,7
4768,4768,d,8
4768,3431,d,10
3431,1424,d,4
1424,5187,d,8
5187,3579,d,6
3579,3580,d,4
3580,4360,d,9
4360,3581,d,6
3581,4429,d,9
4429,1807,d,8
1807,5091,d,9
5091,4596,d,3
4596,4051,d,4
4051,4440,d,10
4440,5087,d,9
5087,652,d,10
652,1580,d,9
1580,1581,d,8
1581,1582,d,6
1582,1583,d,3
1583,2446,d,2
2446,3450,d,10
2450,2448,d,2
2448,3444,d,2
3444,3445,d,2
3445,2028,d,2
2028,2030,d,8
2030,2650,d,7
2650,2652,d,8
2652,2654,d,7
2654,2380,d,8
2380,2658,d,7
2658,2662,d,7
2662,3533,d,7
3533,3535,d,5
3535,971,d,15
971,3538,d,6
3538,3542,d,8
3542,3549,d,2
3549,3555,d,2
3555,4246,d,9
4246,3559,d,7
3559,2763,d,2
2763,3192,d,4
3192,3194,d,4
3194,3196,d,8
3198,3199,d,9
3199,971,d,5
971,972,d,9
972,979,d,2
979,975,d,5
4768,3431,b,10
3431,1424,b,2
1424,3579,b,4
3579,4360,b,15
4360,2039,b,9
2039,2044,b,2
2044,2138,b,12
2138,2140,b,10
2140,1051,b,6
1051,1054,b,2
1054,1055,b,16
1055,3036,b,5
3036,3037,b,5
3037,4822,b,6
4822,3983,b,12
3983,3984,b,11
3984,5348,b,3
5348,3989,b,14
3989,3992,b,11
3992,3821,b,9
3821,381,b,19
381,3531,b,12
3531,2387,b,9
2387,3533,b,16
3533,3541,b,15
3541,3546,b,6
3546,3549,b,3
3549,3551,b,10
3551,3554,b,8
3554,4246,b,3
4246,3559,b,5
3559,2763,b,6
2763,4099,b,10
4099,4101,b,10
4101,4004,b,5
4004,3076,b,8
3076,373,b,7
373,3083,b,9
3083,3084,b,7
3084,3091,b,6
3091,3095,b,10
3095,3097,b,6
3097,1671,b,7
1671,2031,b,5
2031,4488,b,3
4488,2476,b,8
2476,2477,b,6
2477,2022,b,9
2022,2024,b,8
2024,1887,b,8
1887,3044,b,5
3044,3047,b,4
3047,3050,b,6
3050,3053,b,4
3053,3056,b,6
3056,3061,b,8
3061,3066,b,4
3066,4006,b,4
4006,3560,b,2
3560,3566,b,6
3566,3568,b,7
3568,3571,b,5
3571,3573,b,5
3573,5401,b,3
5401,2223,b,4
2223,2228,b,3
2228,2231,b,4
2231,2232,b,5
2232,4257,b,9
4257,2237,b,4
2237,2240,b,5
2240,3812,b,10
3812,3814,b,9
3814,3917,b,5
3917,3920,b,4
3920,3925,b,2
3925,3926,b,9
3926,4157,b,9
4157,367,b,5
367,3927,b,7
3927,1788,b,6
1788,1789,b,4
1789,1049,b,8
1049,1050,b,5
1050,1052,b,10
1052,2133,b,5
2133,2135,b,4
2135,2038,b,4
2038,2040,b,6
2040,4768,b,4
878,5477,e,7
5477,836,e,7
836,839,e,10
839,882,e,7
882,887,e,15
887,890,e,18
890,1595,e,15
1595,1598,e,18
1598,1600,e,12
1600,1602,e,9
1602,1606,e,20
1606,1608,e,6
1608,1619,e,8
1619,1612,e,6
1619,3232,e,22
3232,3234,e,13
3234,3235,e,6
3235,1613,e,10
1613,3238,e,15
3238,3240,e,14
3240,5325,e,6
5325,3241,e,8
3241,3242,e,8
3242,4232,e,6
4232,3246,e,19
3246,3247,e,6
3247,3250,e,7
3250,3251,e,9
3251,3253,e,10
3253,3255,e,9
3255,3256,e,7
3256,4008,e,5
4008,4010,e,6
4010,4012,e,4
4012,5426,e,9
5426,4014,e,3
4014,4016,e,6
4016,4017,e,5
4017,5212,e,4
5212,5213,e,6
5213,2381,e,3
2381,5214,e,9
5214,5215,e,9
5215,2382,e,9
2382,2384,e,9
2384,2386,e,3
4086,4088,e,10
4088,4090,e,8
4090,4092,e,8
4092,4094,e,6
4094,4097,e,10
4097,4253,e,14
4253,3184,e,10
3184,3185,e,2
3185,3189,e,9
3189,3190,e,7
3190,3191,e,10
3191,3192,e,6
3192,3194,e,10
3194,3197,e,9
3197,3199,e,12
3199,3200,e,2
3200,3201,e,10
3201,3205,e,12
3205,1615,e,18
1615,3209,e,15
3209,3210,e,12
3210,3230,e,12
3230,1610,e,13
1610,1622,e,23
1622,1624,e,18
1624,1629,e,22
1629,1631,e,6
1631,1634,e,12
1634,904,e,30
904,906,e,33
906,910,e,35
910,843,e,19
843,847,e,8
847,846,e,9
367,3983,w,4.768468692362086
3983,367,w,4.768468692362086
381,2237,w,4.791767243
2237,381,w,4.791767243
878,5477,w,2.0527894495470997
5477,878,w,2.0527894495470997
974,979,w,1.6537146598811368
979,974,w,1.6537146598811368
1050,1054,w,3.0655748778936993
1054,1050,w,3.0655748778936993
2133,2140,w,3.478091031171072
2140,2133,w,3.478091031171072
2225,3541,w,4.671810515529583
3541,2225,w,4.671810515529583
2446,2451,w,3.4084932645632016
2451,2446,w,3.4084932645632016
3189,3251,w,4.941954134969861
3251,3189,w,4.941954134969861
3413,3450,w,3.255666753128628
3450,3413,w,3.255666753128628
3917,3992,w,4.935207139264995
3992,3917,w,4.935207139264995
4216,4291,w,4.408195992475461
4291,4216,w,4.408195992475461
