vid,route,ts,lat,lon,speed
11-9345 1,145.0,2023-10-30 04:11:27,13.644193,100.675167,0
11-9345 1,145.0,2023-10-30 04:11:27,13.644193,100.675167,0
11-9345 1,145.0,2023-10-30 04:12:27,13.644193,100.675193,0
11-9345 1,145.0,2023-10-30 04:12:27,13.644193,100.675193,0
11-9345 1,145.0,2023-10-30 04:13:27,13.644193,100.675193,0
11-9345 1,145.0,2023-10-30 04:13:27,13.644193,100.675193,0
11-9345 1,145.0,2023-10-30 04:13:57,13.644193,100.675193,0
11-9345 1,145.0,2023-10-30 04:14:27,13.644193,100.675193,0
11-9345 1,145.0,2023-10-30 04:14:57,13.644193,100.675193,0
11-9345 1,145.0,2023-10-30 04:14:57,13.644193,100.675193,0
11-9345 1,145.0,2023-10-30 04:15:42,13.644193,100.675193,0
11-9345 1,145.0,2023-10-30 04:15:42,13.644193,100.675193,0
11-9345 1,145.0,2023-10-30 04:16:27,13.644193,100.675193,0
11-9345 1,145.0,2023-10-30 04:16:27,13.644193,100.675193,0
11-9345 1,145.0,2023-10-30 04:17:12,13.644193,100.675193,0
11-9345 1,145.0,2023-10-30 04:17:12,13.644193,100.675193,0
11-9345 1,145.0,2023-10-30 04:18:12,13.644193,100.675193,0
11-9345 1,145.0,2023-10-30 04:18:42,13.644193,100.675193,0
11-9345 1,145.0,2023-10-30 04:19:12,13.644193,100.675193,0
11-9345 1,145.0,2023-10-30 04:19:12,13.644193,100.675193,0
11-9345 1,145.0,2023-10-30 04:19:57,13.644722,100.675472,0
11-9345 1,145.0,2023-10-30 04:19:57,13.644722,100.675472,0
11-9345 1,145.0,2023-10-30 04:20:42,13.644667,100.675388,2
11-9345 1,145.0,2023-10-30 04:20:42,13.644667,100.675388,2
11-9345 1,145.0,2023-10-30 04:21:42,13.644583,100.675277,6
11-9345 1,145.0,2023-10-30 04:21:42,13.644583,100.675277,6
11-9345 1,145.0,2023-10-30 04:22:42,13.644693,100.6755,0
11-9345 1,145.0,2023-10-30 04:22:42,13.644693,100.6755,0
11-9345 1,145.0,2023-10-30 04:22:57,13.644693,100.6755,0
11-9345 1,145.0,2023-10-30 04:23:27,13.644693,100.6755,0
