sid1,sid2,route,mins
326,5354,w,18.698785329175607
5354,326,w,18.698785329175607
363,3623,w,13.49788093871316
3623,363,w,13.49788093871316
365,1916,w,15.286729547635423
1916,365,w,15.286729547635423
367,3983,w,4.768468692362086
3983,367,w,4.768468692362086
368,4054,w,12.954544019862663
4054,368,w,12.954544019862663
369,4090,w,13.455968507178147
4090,369,w,13.455968507178147
369,5426,w,7.795464203543662
5426,369,w,7.795464203543662
372,2996,w,9.77330226580022
2996,372,w,9.77330226580022
373,3061,w,9.641001152435868
3061,373,w,9.641001152435868
374,3127,w,14.604686618733519
3127,374,w,14.604686618733519
374,3140,w,9.658389156012197
3140,374,w,9.658389156012197
375,3261,w,10.419316027906769
3261,375,w,10.419316027906769
377,3392,w,12.757361661626438
3392,377,w,12.757361661626438
378,3345,w,7.538806467111817
3345,378,w,7.538806467111817
380,3500,w,7.271584186438496
3500,380,w,7.271584186438496
381,2237,w,4.79176724296421
2237,381,w,4.79176724296421
382,3544,w,12.125186096681594
3544,382,w,12.125186096681594
383,2326,w,11.637001983233276
2326,383,w,11.637001983233276
385,5437,w,3.124725454680572
5437,385,w,3.124725454680572
387,2440,w,3.47038632981142
2440,387,w,3.47038632981142
388,1671,w,5.303427294623787
1671,388,w,5.303427294623787
391,2638,w,11.305248502765329
2638,391,w,11.305248502765329
392,2380,w,7.245050661635534
2380,392,w,7.245050661635534
394,2797,w,7.167403111098617
2797,394,w,7.167403111098617
395,2847,w,5.7032149525464675
2847,395,w,5.7032149525464675
396,1540,w,5.4896358675111205
1540,396,w,5.4896358675111205
397,1560,w,4.311175844887612
1560,397,w,4.311175844887612
397,3593,w,1.2552545139469822
3593,397,w,1.2552545139469822
399,4634,w,5.759186296953549
4634,399,w,5.759186296953549
401,1749,w,14.856294788417497
1749,401,w,14.856294788417497
401,1773,w,9.012077976909664
1773,401,w,9.012077976909664
402,1815,w,14.197648922879415
1815,402,w,14.197648922879415
402,1831,w,16.595909348375613
1831,402,w,16.595909348375613
403,1926,w,6.835748692099729
1926,403,w,6.835748692099729
404,1998,w,12.25524510215803
1998,404,w,12.25524510215803
405,2074,w,8.112044373516284
2074,405,w,8.112044373516284
407,833,w,19.874602348051333
833,407,w,19.874602348051333
407,834,w,10.052011202529846
834,407,w,10.052011202529846
407,2719,w,19.355064685580725
2719,407,w,19.355064685580725
408,914,w,18.680434216104583
914,408,w,18.680434216104583
409,883,w,16.43602412735641
883,409,w,16.43602412735641
410,946,w,5.019905028365757
946,410,w,5.019905028365757
411,1016,w,4.853474779135638
1016,411,w,4.853474779135638
411,1017,w,17.306465285382203
1017,411,w,17.306465285382203
412,1152,w,8.128880711797915
1152,412,w,8.128880711797915
412,4357,w,7.95530138915908
4357,412,w,7.95530138915908
413,1181,w,19.605356195046717
1181,413,w,19.605356195046717
413,4300,w,19.360658434690997
4300,413,w,19.360658434690997
414,2961,w,15.687927004740667
2961,414,w,15.687927004740667
414,2962,w,14.735373905035422
2962,414,w,14.735373905035422
414,4663,w,14.19894862727089
4663,414,w,14.19894862727089
415,1267,w,14.306767723838467
1267,415,w,14.306767723838467
416,1317,w,8.964846189523879
1317,416,w,8.964846189523879
417,1356,w,5.5612316494333065
1356,417,w,5.5612316494333065
417,4366,w,11.964969599615399
4366,417,w,11.964969599615399
421,486,w,14.947901494641062
486,421,w,14.947901494641062
421,5373,w,4.72602849671883
5373,421,w,4.72602849671883
422,485,w,1.916120735279419
485,422,w,1.916120735279419
423,484,w,16.12650724228468
484,423,w,16.12650724228468
423,5400,w,5.06315574597923
5400,423,w,5.06315574597923
424,5376,w,15.607078353628031
5376,424,w,15.607078353628031
425,482,w,5.3215610323210125
482,425,w,5.3215610323210125
426,481,w,9.694499466076058
481,426,w,9.694499466076058
427,480,w,13.69780106330316
480,427,w,13.69780106330316
427,5374,w,11.015394424647553
5374,427,w,11.015394424647553
428,479,w,10.974309073848087
479,428,w,10.974309073848087
429,478,w,7.113692905570185
478,429,w,7.113692905570185
430,477,w,17.15076849507696
477,430,w,17.15076849507696
431,476,w,4.600914412429314
476,431,w,4.600914412429314
432,475,w,8.951633555008224
475,432,w,8.951633555008224
433,474,w,3.960146522320892
474,433,w,3.960146522320892
435,472,w,6.6905515872409165
472,435,w,6.6905515872409165
436,471,w,1.9570195944680706
471,436,w,1.9570195944680706
437,470,w,2.867110826559347
470,437,w,2.867110826559347
438,469,w,2.8497407376373243
469,438,w,2.8497407376373243
439,468,w,3.720212670189613
468,439,w,3.720212670189613
440,467,w,9.878405673544538
467,440,w,9.878405673544538
441,466,w,10.314029098149357
466,441,w,10.314029098149357
442,465,w,3.5653044864747385
465,442,w,3.5653044864747385
443,463,w,2.1644665014917503
463,443,w,2.1644665014917503
445,461,w,9.910832354028843
461,445,w,9.910832354028843
446,459,w,4.007957646130056
459,446,w,4.007957646130056
447,4162,w,17.84007650704421
4162,447,w,17.84007650704421
452,1864,w,3.397855161636412
1864,452,w,3.397855161636412
453,1863,w,2.6423030304615227
1863,453,w,2.6423030304615227
454,1861,w,4.54431470849145
1861,454,w,4.54431470849145
483,5376,w,19.17173110084211
5376,483,w,19.17173110084211
484,5400,w,14.870572973533626
5400,484,w,14.870572973533626
486,5373,w,15.370232689989383
5373,486,w,15.370232689989383
487,501,w,2.491004161289849
501,487,w,2.491004161289849
488,500,w,7.772557856105429
500,488,w,7.772557856105429
489,499,w,7.5188671903391535
499,489,w,7.5188671903391535
491,495,w,15.416268441904297
495,491,w,15.416268441904297
493,2521,w,16.500261040905652
2521,493,w,16.500261040905652
494,4748,w,19.969396973452746
4748,494,w,19.969396973452746
497,4745,w,5.821406348231519
4745,497,w,5.821406348231519
498,4744,w,6.507008558165802
4744,498,w,6.507008558165802
502,620,w,11.470220784223034
620,502,w,11.470220784223034
503,2148,w,12.349453925270252
2148,503,w,12.349453925270252
504,621,w,12.560283514945285
621,504,w,12.560283514945285
505,2419,w,15.02106537120731
2419,505,w,15.02106537120731
506,508,w,12.332577986521876
508,506,w,12.332577986521876
509,1564,w,10.965509024201642
1564,509,w,10.965509024201642
510,5085,w,6.160963310731104
5085,510,w,6.160963310731104
511,1999,w,19.999066757264696
1999,511,w,19.999066757264696
513,514,w,11.322254258474768
514,513,w,11.322254258474768
513,922,w,9.847227028399443
922,513,w,9.847227028399443
514,922,w,16.334305117997058
922,514,w,16.334305117997058
515,918,w,8.3274234306671
918,515,w,8.3274234306671
517,3134,w,18.250950143588145
3134,517,w,18.250950143588145
518,800,w,6.406916229416046
800,518,w,6.406916229416046
519,799,w,14.550656624467099
799,519,w,14.550656624467099
520,798,w,8.505900490588626
798,520,w,8.505900490588626
520,5393,w,19.866704071444396
5393,520,w,19.866704071444396
521,797,w,14.534635161073094
797,521,w,14.534635161073094
522,796,w,5.82701296436446
796,522,w,5.82701296436446
526,792,w,5.29627731032273
792,526,w,5.29627731032273
527,791,w,10.887086969607918
791,527,w,10.887086969607918
528,790,w,6.59100206569782
790,528,w,6.59100206569782
530,788,w,10.073124387839052
788,530,w,10.073124387839052
531,787,w,19.5641285597726
787,531,w,19.5641285597726
533,786,w,7.761679435361141
786,533,w,7.761679435361141
534,548,w,13.1874394578286
548,534,w,13.1874394578286
535,547,w,10.637754373614104
547,535,w,10.637754373614104
536,546,w,7.961942389500182
546,536,w,7.961942389500182
537,545,w,6.798520741587164
545,537,w,6.798520741587164
539,543,w,9.42935064874025
543,539,w,9.42935064874025
540,542,w,6.40716658670074
542,540,w,6.40716658670074
541,5383,w,19.302295149147557
5383,541,w,19.302295149147557
549,1297,w,16.73966647146516
1297,549,w,16.73966647146516
553,576,w,12.566685924313088
576,553,w,12.566685924313088
554,573,w,1.7267427386630563
573,554,w,1.7267427386630563
555,572,w,6.076261467600046
572,555,w,6.076261467600046
556,571,w,6.042080189890657
571,556,w,6.042080189890657
557,570,w,3.756050649964492
570,557,w,3.756050649964492
558,569,w,2.497365517210727
569,558,w,2.497365517210727
559,568,w,2.6025263919042327
568,559,w,2.6025263919042327
560,567,w,2.306880456884528
567,560,w,2.306880456884528
561,566,w,4.097665257461344
566,561,w,4.097665257461344
562,565,w,2.9750217823957468
565,562,w,2.9750217823957468
563,564,w,3.0211509673205823
564,563,w,3.0211509673205823
579,4405,w,5.412006909467101
4405,579,w,5.412006909467101
579,5243,w,7.796931934780742
5243,579,w,7.796931934780742
580,4403,w,8.481407693921417
4403,580,w,8.481407693921417
