route_id,path_type,direction,seq,sid1,sid2,dow,hr,mins
1,main,go,0,1557,3604,Monday,0,2
1,main,go,1,3604,3605,Monday,1,7
1,main,go,2,3605,1558,Monday,2,4
1,main,go,3,1558,3606,Monday,3,3
1,main,go,4,3606,1559,Monday,4,4
1,main,go,5,1559,3596,Monday,5,3
1,main,go,6,3596,3607,Monday,6,7
1,main,go,7,3607,4336,Monday,7,9
1,main,go,8,4336,3609,Monday,8,4
1,main,go,9,3609,1560,Monday,9,6
1,main,go,10,1560,3610,Monday,10,5
1,main,go,11,3610,3611,Monday,11,9
1,main,go,12,3611,3612,Monday,12,3
1,main,go,13,3612,3613,Monday,13,3
1,main,go,14,3613,3589,Monday,14,2
1,main,go,15,3589,3614,Monday,15,10
1,main,go,16,3614,3615,Monday,16,10
1,main,go,17,3615,1906,Monday,17,4
1,main,go,18,1906,3616,Monday,18,6
1,main,go,19,3616,3617,Monday,19,6
1,main,go,20,3617,3618,Monday,20,3
1,main,go,21,3618,4750,Monday,21,10
1,main,go,22,4750,3619,Monday,22,5
1,main,go,23,3619,3620,Monday,23,8
1,main,go,24,3620,2040,Tuesday,0,2
1,main,go,25,2040,2043,Tuesday,1,10
1,main,go,26,2043,1396,Tuesday,2,6
1,main,go,27,1396,3621,Tuesday,3,3
1,main,go,28,3621,3622,Tuesday,4,7
1,main,go,29,3622,3623,Tuesday,5,4
1,main,go,30,3623,1012,Tuesday,6,9
1,main,go,31,1012,2300,Tuesday,7,8
1,main,go,32,2300,2301,Tuesday,8,9
1,main,go,33,2301,2373,Tuesday,9,6
1,main,go,34,2373,2374,Tuesday,10,3
1,main,go,35,2374,551,Tuesday,11,6
1,main,go,36,551,1297,Tuesday,12,3
1,main,go,37,1297,3624,Tuesday,13,2
1,main,go,38,3624,549,Tuesday,14,10
1,main,go,39,549,550,Tuesday,15,5
1,main,go,40,550,552,Tuesday,16,2
1,main,go,41,552,363,Tuesday,17,3
1,main,go,42,363,3578,Tuesday,18,2
1,main,go,43,3578,3579,Tuesday,19,8
1,main,go,44,3579,3580,Tuesday,20,7
1,main,go,45,3580,4360,Tuesday,21,4
1,main,go,46,4360,3581,Tuesday,22,3
1,main,go,47,3581,4429,Tuesday,23,9
1,main,go,48,4429,4960,Wednesday,0,7
1,main,go,49,4960,4961,Wednesday,1,8
1,main,go,50,4961,3582,Wednesday,2,8
1,main,go,51,3582,4338,Wednesday,3,10
1,main,go,52,4338,3583,Wednesday,4,2
1,main,go,53,3583,3584,Wednesday,5,9
1,main,go,54,3584,3585,Wednesday,6,7
1,main,go,55,3585,3586,Wednesday,7,6
1,main,go,56,3586,3587,Wednesday,8,9
