route_id,path_type,direction,seq,sid1,sid2,dow,hr,mins
1,main,go,0,1557,3604,Monday,0,10
1,main,go,1,3604,3605,Monday,1,10
1,main,go,2,3605,1558,Monday,2,9
1,main,go,3,1558,3606,Monday,3,10
1,main,go,4,3606,1559,Monday,4,3
1,main,go,5,1559,3596,Monday,5,10
1,main,go,6,3596,3607,Monday,6,4
1,main,go,7,3607,4336,Monday,7,3
1,main,go,8,4336,3609,Monday,8,8
1,main,go,9,3609,1560,Monday,9,3
1,main,go,10,1560,3610,Monday,10,6
1,main,go,11,3610,3611,Monday,11,9
1,main,go,12,3611,3612,Monday,12,6
1,main,go,13,3612,3613,Monday,13,8
1,main,go,14,3613,3589,Monday,14,9
1,main,go,15,3589,3614,Monday,15,2
1,main,go,16,3614,3615,Monday,16,4
1,main,go,17,3615,1906,Monday,17,8
1,main,go,18,1906,3616,Monday,18,5
1,main,go,19,3616,3617,Monday,19,3
1,main,go,20,3617,3618,Monday,20,8
1,main,go,21,3618,4750,Monday,21,4
1,main,go,22,4750,3619,Monday,22,9
1,main,go,23,3619,3620,Monday,23,7
1,main,go,24,3620,2040,Tuesday,0,3
1,main,go,25,2040,2043,Tuesday,1,6
1,main,go,26,2043,1396,Tuesday,2,3
1,main,go,27,1396,3621,Tuesday,3,10
1,main,go,28,3621,3622,Tuesday,4,10
1,main,go,29,3622,3623,Tuesday,5,5
1,main,go,30,3623,1012,Tuesday,6,5
1,main,go,31,1012,2300,Tuesday,7,4
1,main,go,32,2300,2301,Tuesday,8,6
1,main,go,33,2301,2373,Tuesday,9,3
1,main,go,34,2373,2374,Tuesday,10,3
1,main,go,35,2374,551,Tuesday,11,7
1,main,go,36,551,1297,Tuesday,12,4
1,main,go,37,1297,3624,Tuesday,13,9
1,main,go,38,3624,549,Tuesday,14,9
1,main,go,39,549,550,Tuesday,15,9
1,main,go,40,550,552,Tuesday,16,2
1,main,go,41,552,363,Tuesday,17,7
1,main,go,42,363,3578,Tuesday,18,9
1,main,go,43,3578,3579,Tuesday,19,8
1,main,go,44,3579,3580,Tuesday,20,10
1,main,go,45,3580,4360,Tuesday,21,8
1,main,go,46,4360,3581,Tuesday,22,6
1,main,go,47,3581,4429,Tuesday,23,8
1,main,go,48,4429,4960,Wednesday,0,9
1,main,go,49,4960,4961,Wednesday,1,8
1,main,go,50,4961,3582,Wednesday,2,10
1,main,go,51,3582,4338,Wednesday,3,3
1,main,go,52,4338,3583,Wednesday,4,9
1,main,go,53,3583,3584,Wednesday,5,8
1,main,go,54,3584,3585,Wednesday,6,3
1,main,go,55,3585,3586,Wednesday,7,7
1,main,go,56,3586,3587,Wednesday,8,3
1,main,go,57,3587,3588,Wednesday,9,2
1,main,go,58,3588,3590,Wednesday,10,5
1,main,go,59,3590,3591,Wednesday,11,4
1,main,go,60,3591,3592,Wednesday,12,5
1,main,go,61,3592,397,Wednesday,13,7
1,main,go,62,397,3593,Wednesday,14,6
1,main,go,63,3593,3594,Wednesday,15,7
1,main,go,64,3594,3608,Wednesday,16,8
1,main,go,65,3608,3595,Wednesday,17,2
1,main,go,66,3595,3597,Wednesday,18,5
1,main,go,67,3597,3598,Wednesday,19,9
1,main,go,68,3598,2060,Wednesday,20,4
1,main,go,69,2060,3599,Wednesday,21,10
1,main,go,70,3599,3600,Wednesday,22,5
1,main,go,71,3600,1585,Wednesday,23,9
1,main,go,72,1585,3601,Thursday,0,6
1-13,main,go,0,1589,1590,Thursday,1,6
1-13,main,go,1,1590,1591,Thursday,2,10
1-13,main,go,2,1591,1592,Thursday,3,3
1-13,main,go,3,1592,1593,Thursday,4,4
1-13,main,go,4,1593,1594,Thursday,5,6
1-13,main,go,5,1594,1595,Thursday,6,4
1-13,main,go,6,1595,5604,Thursday,7,3
1-13,main,go,7,5604,3882,Thursday,8,4
1-13,main,go,8,3882,3883,Thursday,9,4
1-13,main,go,9,3883,3884,Thursday,10,3
1-13,main,go,10,3884,3885,Thursday,11,2
1-13,main,go,11,3885,3886,Thursday,12,6
1-13,main,go,12,3886,3887,Thursday,13,7
1-13,main,go,13,3887,3888,Thursday,14,7
1-13,main,go,14,3888,3889,Thursday,15,4
1-13,main,go,15,3889,3890,Thursday,16,6
1-13,main,go,16,3890,3110,Thursday,17,6
1-13,main,go,17,3110,3891,Thursday,18,6
1-13,main,go,18,3891,3892,Thursday,19,6
1-13,main,go,19,3892,3803,Thursday,20,3
1-13,main,go,20,3803,3804,Thursday,21,9
1-13,main,go,21,3804,3805,Thursday,22,9
1-13,main,go,22,3805,3806,Thursday,23,4
1-13,main,go,23,3806,4242,Friday,0,5
1-13,main,go,24,4242,2379,Friday,1,9
1-13,main,go,25,2379,4243,Friday,2,3
1-13,main,go,26,4243,4244,Friday,3,6
1-13,main,go,27,4244,4245,Friday,4,4
1-13,main,go,28,4245,2663,Friday,5,2
1-13,main,go,29,2663,3533,Friday,6,6
1-13,main,go,30,3533,3534,Friday,7,6
1-13,main,go,31,3534,3535,Friday,8,7
1-13,main,go,32,3535,3536,Friday,9,3
1-13,main,go,33,3536,3537,Friday,10,2
1-13,main,go,34,3537,3538,Friday,11,2
1-13,main,go,35,3538,3539,Friday,12,4
1-13,main,go,36,3539,3540,Friday,13,2
1-13,main,go,37,3540,3541,Friday,14,5
1-13,main,go,38,3541,3542,Friday,15,10
1-13,main,go,39,3542,3543,Friday,16,4
1-13,main,go,40,3543,3544,Friday,17,10
1-13,main,go,41,3544,3545,Friday,18,7
1-13,main,go,42,3545,3546,Friday,19,10
1-13,main,go,43,3546,1720,Friday,20,9
1-13,main,go,44,1720,5396,Friday,21,5
1-13,main,go,45,5396,1707,Friday,22,4
